id,admit,gre,gpa,rank
195,1,600,347,2
196,0,560,359,2
197,0,660,307,3
198,1,400,323,4
199,0,600,363,3
200,0,580,377,4
201,0,800,331,3
202,1,580,32,2
203,1,700,4,1
204,0,420,392,4
205,1,600,389,1
206,1,780,38,3
207,0,740,354,1
208,1,640,363,1
209,0,540,316,3
210,0,580,35,2
211,0,740,334,4
212,0,580,302,2
213,0,460,287,2
214,0,640,338,3
215,1,600,356,2
216,1,660,291,3
217,0,340,29,1
218,1,460,364,1
219,0,460,298,1
220,1,560,359,2
221,0,540,328,3
222,0,680,399,3
223,1,480,302,1
224,0,800,347,3
225,0,800,29,2
226,1,720,35,3
227,0,620,358,2
228,0,540,302,4
229,0,480,343,2
230,1,720,342,2
231,0,580,329,4
232,0,600,328,3
233,0,380,338,2
234,0,420,267,3
235,1,800,353,1
236,0,620,305,2
237,1,660,349,2
238,0,480,4,2
239,0,500,286,4
240,0,700,345,3
241,0,440,276,2
242,1,520,381,1
243,1,680,296,3
244,0,620,322,2
245,0,540,304,1
246,0,800,391,3
247,0,680,334,2
248,0,440,317,2
249,0,680,364,3
250,0,640,373,3
251,0,660,331,4
252,0,620,321,4
253,1,520,4,2
254,1,540,355,4
255,1,740,352,4
256,0,640,335,3
257,1,520,33,2
258,1,620,395,3
259,0,520,351,2
260,0,640,381,2
261,0,680,311,2
262,0,440,315,2
263,1,520,319,3
264,1,620,395,3
265,1,520,39,3
266,0,380,334,3
267,0,560,324,4
268,1,600,364,3
269,1,680,346,2
270,0,500,281,3
271,1,640,395,2
272,0,540,333,3
273,1,680,367,2
274,0,660,332,1
275,0,520,312,2
276,1,600,298,2
277,0,460,377,3
278,1,580,358,1
279,1,680,3,4
280,1,660,314,2
281,0,660,394,2
282,0,360,327,3
283,0,660,345,4
284,0,520,31,4
285,1,440,339,2
286,0,600,331,4
287,1,800,322,1
288,1,660,37,4
289,0,800,315,4
290,0,420,226,4
291,1,620,345,2
292,0,800,278,2
293,0,680,37,2
294,0,800,397,1
295,0,480,255,1
296,0,520,325,3
297,0,560,316,1
298,0,460,307,2
299,0,540,35,2
300,0,720,34,3
301,0,640,33,2
302,1,660,36,3
303,1,400,315,2
304,1,680,398,2
305,0,220,283,3
306,0,580,346,4
307,1,540,317,1
308,0,580,351,2
309,0,540,313,2
310,0,440,298,3
311,0,560,4,3
312,0,660,367,2
313,0,660,377,3
314,1,520,365,4
315,0,540,346,4
316,1,300,284,2
317,1,340,3,2
318,1,780,363,4
319,1,480,371,4
320,0,540,328,1
321,0,460,314,3
322,0,460,358,2
323,0,500,301,4
324,0,420,269,2
325,0,520,27,3
326,0,680,39,1
327,0,680,331,2
328,1,560,348,2
329,0,580,334,2
330,0,500,293,4
331,0,740,4,3
332,0,660,359,3
333,0,420,296,1
334,0,560,343,3
335,1,460,364,3
336,1,620,371,1
337,0,520,315,3
338,0,620,309,4
339,0,540,32,1
340,1,660,347,3
341,0,500,323,4
342,1,560,265,3
343,0,500,395,4
344,0,580,306,2
345,0,520,335,3
346,0,500,303,3
347,0,600,335,2
348,0,580,38,2
349,0,400,336,2
350,0,620,285,2
351,1,780,4,2
352,0,620,343,3
353,1,580,312,3
354,0,700,352,2
355,1,540,378,2
356,1,760,281,1
357,0,700,327,2
358,0,720,331,1
359,1,560,369,3
360,0,720,394,3
361,1,520,4,1
362,1,540,349,1
363,0,680,314,2
364,0,460,344,2
365,1,560,336,1
366,0,480,278,3
367,0,460,293,3
368,0,620,363,3
369,0,580,4,1
370,0,800,389,2
371,1,540,377,2
372,1,680,376,3
373,1,680,242,1
374,1,620,337,1
375,0,560,378,2
376,0,560,349,4
377,0,620,363,2
378,1,800,4,2
379,0,640,312,3
380,0,540,27,2
381,0,700,365,2
382,1,540,349,2
383,0,540,351,2
384,0,660,4,1
385,1,480,262,2
386,0,420,302,1
387,1,740,386,2
388,0,580,336,2
389,0,640,317,2
390,0,640,351,2
391,1,800,305,2
392,1,660,388,2
393,1,600,338,3
394,1,620,375,2
395,1,460,399,3
396,0,620,4,2
397,0,560,304,3
398,0,460,263,2
399,0,700,365,2
400,0,600,389,3
